wdopa,L.BSTS,L.CACG,L.CMFG,L.CU,L.EC,L.FG,L.IPG,L.ITG,L.ICG,L.LOG,L.LOFG,L.LG,L.MOFG,L.MTG,L.PHIG,L.PaCG,L.POP,L.POR,L.PTR,L.PCAL,L.PoCG,L.PCG,L.PrCG,L.PCU,L.RACG,L.RMFG,L.SFG,L.SPG,L.STG,L.SMG,L.FP,L.TP,L.TTG,L.IN,L.CER,L.TH,L.CA,L.PU,L.HI,L.AC,lh-GPe,lh-GPi,lh-STN,rh-GPe,rh-GPi,rh-STN,R.TH,R.CA,R.PU,R.HI,R.AC,R.BSTS,R.CACG,R.CMFG,R.CU,R.EC,R.FG,R.IPG,R.ITG,R.ICG,R.LOG,R.LOFG,R.LG,R.MOFG,R.MTG,R.PHIG,R.PaCG,R.POP,R.POR,R.PTR,R.PCAL,R.PoCG,R.PCG,R.PrCG,R.PCU,R.RACG,R.RMFG,R.SFG,R.SPG,R.STG,R.SMG,R.FP,R.TP,R.TTG,R.IN,R.CER,SubstantiaNigraLH,SubstantiaNigraRH
0.05,-3.655191094891861e-05,-1.6462318439302904e-05,4.200248309433786e-05,1.105032963731311e-06,3.667026262392895e-05,-1.8488722078511828e-05,4.3874901054253814e-05,-3.4224819453460156e-05,3.582974232440761e-06,-1.4565665440796543e-05,-2.348495161914998e-05,2.416834260419192e-05,1.0140818850980958e-05,3.886079309068285e-05,1.7195798855333728e-05,-3.31147322635664e-05,7.641383023550389e-06,-2.877828532389401e-05,-2.0248156177428368e-05,9.952833274941124e-06,1.55068663969211e-05,2.2525869987350043e-05,-1.3911171259342746e-05,2.809981789890886e-05,9.774559207017806e-06,1.2131102810804855e-05,3.4332728371319004e-05,-1.7958388492546902e-05,-4.305038708735834e-05,1.3590546067369498e-05,-3.565202946887613e-05,-5.16469838702743e-05,-5.958990070473272e-06,-3.7192619917812862e-06,3.320515144677652e-05,-1.0520836885965725e-05,4.905419162606853e-05,-5.024512765018768e-05,-2.7803275705898288e-05,1.2094197335130195e-05,-1.1790726450570304e-06,1.1092098836237964e-05,1.8577539720328128e-05,1.0017203198344916e-05,2.0137817989565745e-05,2.3563321269094886e-05,2.3346403473940456e-05,6.606491461983711e-05,5.6135653063076035e-06,2.7232438161379712e-06,8.083419608608424e-06,-3.7413132852758247e-06,1.1876868774281029e-05,9.158368412102499e-05,-3.325275191066738e-05,-1.0653864629821258e-05,-8.440153134988794e-06,2.333052715770774e-05,-1.015357482575361e-05,7.5820382704311615e-06,2.366627981436571e-05,-1.1841665088129341e-05,1.3506212492176957e-05,-3.088053782458127e-06,1.478104467311612e-06,-1.5649955135879894e-08,-8.274198410086188e-06,-4.343606501604489e-05,-2.9286705565512832e-05,3.270183317351242e-05,-1.0964645262804045e-05,-6.813166680407633e-07,-9.553331976662246e-06,-3.197018817167614e-05,7.949690750645385e-05,-3.93207498895145e-06,-2.1431817541158427e-05,3.568718025661e-05,2.4470202814138203e-05,-1.6835046603810353e-05,-1.7801996187423027e-05,2.433955076771644e-05,-2.0644232515578732e-05,3.89722790388841e-05,5.722069915641171e-05,-1.4041015296288765e-05,0.12552557941641077,0.25997046104150756
0.6000000000000001,-4.2279954163619704e-05,4.0712749605802004e-05,4.429376305927445e-06,-1.2997746882811224e-05,4.2339202711823465e-06,-6.892921599212133e-05,-2.988736302145336e-05,-2.3943553799233852e-05,-6.585946955277067e-06,3.6022415106322635e-05,3.890620707603155e-05,2.572524685573649e-05,3.181292760189998e-05,-5.11212494031497e-06,-7.301423816462137e-06,-1.6766848487242897e-05,-2.2114992065596074e-06,-6.255960190123916e-06,3.0702160685809936e-06,-2.9191796201363123e-06,-9.648961535923304e-06,4.283670146582191e-06,-2.8243399647015555e-05,-1.6419345380270583e-05,-6.459467372011006e-07,-4.8621885272603183e-05,-1.79385058201145e-05,-6.739378788263511e-06,1.322857582619198e-05,5.094363574822269e-05,-2.0541018639154153e-05,-4.425631600295829e-06,-3.9385014644745936e-05,-7.71520168630858e-05,-5.805960276291433e-06,-4.22238623504416e-06,4.3284104475884366e-06,3.2844376881754643e-06,-3.800865031825707e-05,-1.1390368586604403e-05,-1.9368719231469843e-06,-1.451916897273924e-05,2.6218288676205172e-05,-5.1053307817793635e-05,3.576470292013343e-05,2.032249534676168e-06,-2.953135167936709e-05,1.4674253495448057e-05,2.3647956136157007e-05,-3.399798132646685e-05,-2.153736128183297e-05,-1.696558183632933e-05,-2.3140506288337333e-05,3.202408229970086e-05,-3.559247722588023e-06,1.7442776651397372e-05,2.9614676832867735e-05,2.2085644792323294e-05,-3.586607223523501e-05,-2.194779710322765e-05,4.443161393720511e-07,-3.4572623673825873e-06,-2.81273804334965e-05,-6.314782531277062e-05,-3.348443980743884e-05,-8.551919003473618e-06,1.1451165244016805e-06,6.840761575678806e-05,-3.562808361586836e-05,-1.7582147768910408e-05,-1.4991809543962782e-05,-1.247294022672451e-05,-1.0321426540282536e-05,-1.0916792794066558e-06,3.03395468270725e-05,-2.9072534664902676e-05,-3.4373356538424816e-06,1.902069221647167e-05,-3.21008982850908e-05,2.7036847778634532e-05,4.183133999325258e-05,-3.3639404646370394e-05,-3.170686231475236e-05,1.551250006285058e-05,2.7172859088468364e-06,-5.392318080583689e-06,1.5485139359543147,3.308610148270241
1.1500000000000001,-5.648344006484696e-06,-6.042258288461034e-06,-6.868013545424681e-06,1.2572530169083343e-06,1.3582747322415802e-05,-1.3908003629492443e-05,1.8688850160065605e-05,1.657706770419158e-05,-1.3529902775921708e-05,-1.0920880183140303e-05,1.6412089427618036e-05,1.6847243964473975e-05,6.130406610158086e-06,-2.2150554274415122e-05,4.3639163172671325e-05,-4.128147758316914e-05,-1.9645196020575984e-05,1.8269925357316483e-05,-3.66730446526717e-05,-7.570341071868321e-06,-3.649812361254971e-05,-5.6537546865109184e-05,-7.989541737430477e-05,-5.45015901640499e-05,-4.650377941372626e-05,1.1805641900389262e-05,2.6745002729122364e-05,-2.820242965069147e-05,2.6203652110557288e-05,2.957998893230674e-05,3.3954140750706724e-05,-1.1023196328300096e-05,4.2803129225132964e-06,1.8840393345984123e-05,5.444675511027283e-05,8.279361072634823e-06,-2.7918761590299756e-05,-7.255774417440829e-06,3.938275743500668e-05,2.7995871018630928e-05,1.5987278865265933e-05,2.854707503354907e-05,3.9048047708109195e-05,-1.7057342994949337e-05,4.6481788917116894e-05,-1.8596362387456658e-05,2.2573685356856884e-05,-1.3804398829150646e-05,4.720420531860742e-05,-8.396529751458433e-06,1.5321491500839612e-06,1.3169497085760737e-05,-4.452091976155193e-05,-4.83471892407645e-05,-3.7519158681469736e-05,-7.413586606691206e-06,-1.4499988029778976e-07,-1.8066825435819745e-05,2.7467121667774942e-05,-1.1868558029190504e-05,3.368267865325297e-05,3.195058960546683e-05,6.824782923276464e-06,4.641861117109884e-05,-2.0604877538986577e-05,-2.3420073847011445e-05,-1.3766597700964553e-05,1.3695375697372277e-05,-3.0656458147751025e-05,-5.162440753376274e-05,-6.871741162072691e-05,3.3487439253689756e-05,-2.678447247093247e-06,9.94880371111767e-06,1.4640827298620977e-05,1.8396061293246084e-05,-6.3957415026359324e-06,-1.589494219380599e-05,1.216484695276467e-05,2.001941485231353e-05,3.5159393433175985e-05,-4.224317734741453e-05,-1.5625771648274175e-05,-5.648340685204222e-06,1.3679779375023102e-05,5.0509739283058816e-05,3.0522490718029482,6.754110883100067
1.7000000000000002,-4.0151247178733416e-05,-2.8681912881893567e-05,-2.779263770743387e-05,-4.0259489703501154e-05,-8.828768819588844e-05,-6.19506749785392e-05,-1.4064097415689474e-05,2.5996992737592675e-05,-3.884944707086628e-05,2.3505207275783007e-05,-1.4611065771209772e-05,1.563427904232497e-05,5.203783063706798e-05,3.901828031078558e-05,-3.6333213600171804e-05,1.1870392003331938e-05,-3.882940637188312e-05,-2.9656155630101884e-06,3.474949792293879e-05,2.3584076798889327e-05,4.186895047579457e-05,-9.715969997380435e-06,1.5938354587583215e-05,3.0602614985076963e-06,-2.679593030086388e-06,5.6522338876097836e-05,9.866434155603378e-06,3.759786685780411e-05,1.634861418592941e-05,1.7229531994317364e-05,1.5751828025414868e-05,1.9111929522138917e-05,1.0153919534976763e-05,6.312449767329103e-05,1.207791125737455e-05,3.7641321657102586e-05,-1.4342748193119059e-05,-2.849411930720202e-06,-8.47067469049422e-06,4.881170087863526e-07,4.735441660179278e-06,1.2032203060078892e-06,-6.802544966279207e-05,-1.8378521088220166e-06,-3.2663351452891308e-06,7.54460258605225e-06,-2.435962991851511e-05,3.274182143691835e-05,-2.5160321279070367e-05,4.691279378044793e-05,-6.090945599858864e-06,-8.538736288270673e-05,4.708031781364978e-05,2.6738091794780294e-05,-2.9191927710672042e-05,1.3135641920741206e-05,-7.854409031672395e-06,2.9208756102002784e-05,-5.6862013011351205e-05,-2.433298215755739e-05,3.646409037442489e-07,-6.313792579207734e-06,-1.5150506189777708e-05,-5.770662052136952e-05,-2.2538909467657122e-05,3.0145299127582234e-06,2.641696790628507e-06,-6.204783151478884e-06,1.206074118120246e-05,-3.4005757348196216e-06,-9.204521641320224e-07,4.880404490597566e-05,-5.927454100967198e-06,6.0578118835657835e-05,2.2592486939868418e-05,2.738382907699252e-05,-2.3579872032459967e-05,-1.9273402475751687e-05,8.330115051523314e-06,3.543821645968687e-05,-1.8805366870529616e-05,3.4516790749440204e-05,-6.248324571043522e-07,2.484990503481797e-05,7.270630966999495e-06,-6.553494517902144e-06,4.649248204254716,10.674297227137625
2.25,2.3807595383231423e-05,5.690572507660594e-06,5.501778646095869e-06,6.695565041754769e-06,-1.327582798484126e-05,1.5004183613606106e-05,-4.7702844669717754e-05,-6.169707114441709e-06,5.7519992843771e-05,2.9850551302124514e-05,1.0272587145953924e-05,1.4175361682613728e-05,2.7934048455717956e-07,-4.215149798986351e-05,-2.3177417355712793e-05,2.229841643156872e-05,-1.3268514797552496e-05,-3.527342862444969e-05,3.0191818538449124e-06,1.1316883012701869e-05,-2.794330298423628e-06,3.982306867354111e-05,3.2618780788104277e-07,1.0499725329458968e-05,-1.863296760943815e-05,7.4805679935511485e-06,-2.2046386129769074e-05,2.4581733732174235e-05,-9.716154151848304e-05,-1.827273555302853e-05,4.386123611243632e-05,-2.4479310396878013e-06,-6.128551747966316e-05,-9.063138013315077e-06,1.999214277624604e-05,-8.68825549992175e-06,-1.9591415841365925e-05,5.5448656086028044e-05,-3.71548341788834e-05,-3.52439661035817e-06,-5.919472567422014e-06,3.126204278893216e-05,-1.3843178975846267e-05,-2.7515730755642477e-05,-3.3794073974183714e-05,-6.939314207203111e-06,3.914364068797796e-07,5.328097907935479e-05,-3.2171250969991534e-05,-3.595476389544556e-05,4.4179631040480156e-05,7.730240607278022e-06,3.2418596141167315e-05,5.317088320081443e-06,-6.377383659682912e-06,-1.0388280903097135e-05,-4.668338234695994e-05,1.189128764216292e-06,-2.4747364546683082e-06,-5.410788216719762e-06,-8.784317555375815e-06,3.76399104608981e-05,-2.0476021548061792e-05,-2.9026864874873483e-05,2.3855337736056134e-05,-5.458930073749056e-05,-1.6336798321881834e-05,-2.6478556943238872e-05,2.321984826558093e-06,1.3480506769628367e-05,-4.9292872714897034e-05,-2.6606165396781577e-05,-2.5463456160980296e-05,-2.5085164173440607e-05,-3.461451829922879e-05,2.8727756972055948e-05,1.0508225570006731e-05,2.0082735580343488e-05,-4.447478866931346e-06,6.383589814514329e-05,2.0516210464664486e-05,2.1288035903336856e-05,-3.748060102734884e-05,2.5902179594121622e-06,-6.606898923554614e-06,2.7819535952776614e-05,6.343769243734516,15.177336847192636
2.8,5.3896135323130096e-05,3.248041221326418e-05,2.386602294006959e-05,-5.048329549900669e-05,1.9148185758188694e-05,3.931030022113896e-06,6.526449793052836e-07,-7.095334234284706e-06,9.27594456596277e-06,-6.634154737527713e-06,-4.049608332993586e-05,4.1953766879195654e-05,4.49292599356382e-05,-2.4414552316302e-05,1.726207821865524e-05,-4.555711657717195e-06,-3.316830132790827e-05,-1.558791608110372e-05,-6.31090113917273e-05,6.3011977931688305e-06,1.5573804754100088e-05,-3.141484215008346e-05,-4.027623135467227e-05,-1.8467618526459374e-05,-3.021484928541845e-05,1.7695518748680814e-05,-1.3330267963192242e-05,-1.5637566108661623e-05,-2.9164674455383535e-05,2.3609104920326798e-05,1.1665196921976668e-05,-4.0838132613722085e-05,1.3590535118393656e-05,-3.4189626829850504e-05,-1.0551675788280054e-06,-7.629373957742977e-06,-3.109412382083956e-06,-4.260012826145808e-05,-3.918430389630829e-05,1.647745087632093e-05,3.733876393242026e-05,5.249996176408793e-06,4.125238589558491e-05,6.541075391751799e-05,-3.824127152125612e-05,8.22259043440047e-05,-3.890183575773562e-05,3.380516244776009e-05,1.4512846798668742e-05,-3.792542926028766e-05,-7.535432678594868e-05,3.335132042053883e-05,-4.9924729304322207e-05,-6.600942050810425e-05,-1.56111729750598e-05,-3.130559547725904e-05,-3.406183088767611e-05,-4.011616715747412e-06,2.9971554924823552e-05,4.663226313267494e-05,5.3952352114355984e-05,-2.6298475089856073e-06,-2.1918305678635022e-05,-1.457230321656151e-06,-4.735727786351649e-05,4.8461675853322875e-06,-3.443406142348889e-06,3.200011104379485e-05,-2.3617008456824516e-05,-4.411118577555926e-05,-2.3882079172017445e-05,2.5873059675813034e-06,-4.1584447728301916e-05,-6.509418722845391e-06,-5.04718574751883e-05,1.1405386038639805e-06,-2.6557700214443e-05,-1.0977686823354844e-05,-2.2832599526800316e-05,-2.3032890275147286e-05,1.2497769788770785e-05,-2.2809610292655528e-05,-2.7561798875302542e-05,-8.240890068820834e-06,-2.1082385264212404e-05,1.0995127060849466e-05,8.148827534258295,20.39637672655342
3.35,2.4404230492113255e-05,-5.201735475733057e-05,-3.879452221730057e-06,-8.081905145286705e-06,-5.2887662531798185e-05,-3.8292895259581e-05,-2.459695094580012e-05,-5.140378448209092e-05,3.561193445702425e-05,6.930059143579871e-05,6.6858482732211905e-06,1.963933772862359e-05,-5.55027330061379e-06,6.469525124891596e-06,3.461855558702504e-05,-6.697006228132825e-05,-2.740048706737729e-05,7.0031374158695825e-06,-4.516137355056661e-05,-1.179856392013861e-05,-2.0045543891060216e-05,-1.5259174584507994e-05,-3.232166542216279e-05,-3.0206746966626534e-05,-2.9325417100586194e-05,1.808755141966127e-05,-8.192187138804917e-06,-2.1910566680612932e-05,3.6782415191855093e-05,1.9561661328130243e-05,-3.6954693455801364e-06,-1.5452762825029354e-05,-1.4382768404385626e-05,9.496818486097629e-07,2.7002852546250695e-06,-1.9018500833674676e-05,3.49089349756696e-05,3.585382134749499e-05,6.0485879060406276e-05,1.85868435914934e-05,-1.1815630397001144e-05,-2.2643951426018563e-05,-3.4846139970871704e-05,-5.886608275008296e-06,-2.5733558094223256e-05,-4.638868830037598e-05,-4.576151180952849e-06,-2.71119775161731e-05,2.955983722529674e-05,-2.0568080551102345e-05,-2.7394433690440777e-05,-1.9125918138963106e-05,-2.3399961385552958e-05,1.0823563710156045e-05,2.1328963923527057e-05,1.91413002797161e-05,1.679613377455346e-05,-1.1464887680746926e-05,-1.8206221719237806e-05,-2.9568869442679293e-06,-4.154962654732607e-05,-6.498728116946332e-05,1.71193529951777e-05,1.6888176657973941e-06,1.131200801832342e-05,7.25453587067625e-06,1.782140547873891e-05,-1.7462491616095526e-05,-5.6871160029868675e-05,-1.1128920011029391e-05,-3.081587776130778e-05,1.9072756377596108e-05,-2.6889662949988298e-05,-4.4652424320209996e-05,-2.1959654194908363e-05,7.578539018801987e-06,2.37847422306969e-05,2.9755166212491757e-05,2.2903901313881437e-05,1.6972233341008566e-05,-5.706519734354039e-05,-5.6527423733458905e-06,3.128248344898267e-05,-1.042712245599269e-05,2.3079576887988152e-05,1.892434363533329e-05,10.07471258278525,26.537778271745935
3.9000000000000004,-3.1353867315351003e-06,1.4966461377168403e-05,-5.114496246103217e-05,3.070981495499835e-05,-4.857257580183998e-05,1.320694274436863e-05,1.9666144129469123e-05,-4.884009515948907e-05,-3.494209052897415e-05,3.196203770412763e-05,-5.0337967002473934e-05,-3.108953217795831e-05,-4.233606677141779e-05,-1.947990318311533e-05,3.5838256997398106e-05,-6.307137524543425e-05,4.6433854585908746e-05,7.628412721244858e-06,1.8250053146752725e-05,3.468159593119525e-05,-4.541987762276023e-06,-4.4672429345062434e-05,1.409916271375623e-05,-2.9999907083148874e-05,-2.0689492660663524e-05,8.016843752978617e-06,-2.535430534483729e-05,2.340032612168512e-05,-5.635351541828082e-05,-7.606180133539426e-06,4.411697143794131e-05,-4.3736402591190205e-05,1.4070289532284294e-05,4.0389040392079644e-05,-1.2915574966008373e-05,-1.4158874142060806e-05,-5.900785727242902e-06,-8.972836956040673e-06,-8.562006732573448e-06,-1.991208280687652e-06,3.582724626828074e-05,7.4667956804842e-05,1.1251819495074195e-05,-3.72896545274356e-06,3.1698864513463645e-05,7.67678529648347e-06,-3.592953964169496e-05,3.55584571167412e-05,8.885774055155065e-06,3.089512560596461e-05,-5.9578407957790966e-05,1.0639313627186481e-05,5.277591765237393e-06,4.4994989997375395e-05,6.443129438425935e-06,1.1353026749665493e-05,4.171629534974809e-05,1.68133645585305e-05,2.065878615990334e-06,1.5573657125764073e-05,-1.995214738518805e-05,-2.7505193539862124e-05,-1.3053719774487422e-05,-8.437956854299063e-07,1.947073663034679e-05,2.6449627371990987e-05,-4.6752768632590446e-05,1.9410715950531596e-05,5.974236624001641e-05,2.2001223447235434e-05,5.358925765366263e-05,2.6565982347875303e-05,4.353939715628037e-05,-4.0360575057265356e-05,4.129794809388094e-05,-6.807444008883544e-05,-9.237233122389201e-05,-4.592478454585746e-06,-3.41121769608672e-05,-5.80692480171553e-06,-3.124469075659057e-05,-3.5891382356128346e-05,-6.109371591802371e-06,6.290519616902415e-05,4.525632800792384e-05,-2.0329605156016916e-05,12.126240907563464,33.827588062267246
4.45,1.1575879924382745e-05,-2.0465514498945875e-06,2.9376966809891536e-05,-8.8052391408244e-06,-2.7104690075023575e-06,5.133996279965646e-05,1.6056864207294516e-05,-2.884684295884304e-05,3.775125920191797e-05,4.641002641619073e-05,4.2876744731288215e-06,-2.9746425762907782e-05,-7.808159945050765e-05,4.239705988089749e-05,2.8951048726278466e-06,-3.944251163769425e-05,-6.370669559618739e-06,-1.3156515231257889e-05,1.3280933190562276e-05,-1.652695289733293e-05,2.615992323712221e-05,-4.195400987220558e-05,7.2646914853297605e-06,5.663065003261087e-06,1.5972686216645104e-05,-5.282564941500202e-05,4.879774080406096e-05,5.978942600319731e-06,-2.3608637525446312e-05,-1.113710775469714e-05,1.8697392375421207e-05,1.903151664132964e-06,6.007926454182774e-06,-1.3683500948304016e-06,3.438573726897238e-05,1.2908668393435902e-05,5.625566249521925e-05,-1.9585856234475425e-05,-6.034504598823036e-05,4.600915530161277e-05,-4.75374159588682e-06,7.109530892294951e-05,-6.727817398038309e-06,-1.6641664205558046e-05,-1.5918903622358074e-05,-5.19327631111964e-05,8.284100243068855e-05,2.4314279188379006e-06,-5.761438833387662e-05,7.238333511378973e-05,1.8112373651451294e-05,5.650404779756716e-05,-3.812112023852395e-05,-7.345627591749113e-06,-8.576217911994797e-07,-1.2709988138799551e-05,-2.5137997772886282e-05,1.4310713968165285e-05,1.54142473190179e-05,1.735589283914566e-05,4.534313290296307e-06,-1.5603405791773438e-06,5.811328921380966e-06,-3.480752452501803e-05,5.819744443780516e-06,4.9304113247258035e-05,1.0154102206629016e-06,1.4884121081570868e-06,-2.411155306897636e-05,1.0008221549693636e-05,-2.128452985561809e-05,-4.416542158086375e-05,4.0296916135767055e-06,-3.280823133254901e-06,1.284905740408925e-06,-1.0822194439563292e-05,-2.2410348866974945e-05,3.9349825775899705e-05,-1.3972954786322954e-05,4.67032371819153e-05,-3.921384504471869e-05,-7.083895783467801e-06,-1.311137097652451e-07,-2.599986680597434e-05,-1.4049239467724747e-05,-1.7563202436427394e-05,14.32425676768616,42.680371759785714
5.0,1.0433774626990839e-05,4.351997922580077e-05,-2.8421179197799565e-05,1.654096094384069e-05,-2.5067780470838147e-05,-2.2722371703591686e-06,3.600115912990297e-05,-2.042942068374336e-05,1.8215147892504018e-06,2.835860348799496e-06,5.35606069324133e-05,-2.1256352517799945e-05,6.354848548830083e-05,6.717638731821844e-06,-2.3558455126831273e-05,2.4926751685668803e-05,-3.72527891514358e-05,-1.702555626281022e-05,3.284303857847038e-05,-4.9045395899543306e-06,4.0939961038240974e-05,-2.039836592988694e-05,-8.242248681232784e-05,-1.938620606128226e-05,-3.0504543893955784e-05,2.7490245928607512e-05,-1.3343797007373402e-06,-2.5120182931851407e-06,1.460145061820102e-06,-2.7978722905103165e-05,-2.363489779259865e-05,1.4767760664919676e-05,4.2971281903815096e-05,1.449886153032149e-05,-4.2833392815987686e-05,4.513067878844122e-05,1.5601003169325928e-05,1.7115502561734562e-05,7.141449263289765e-06,1.7045297031560982e-05,7.817038186550938e-07,1.41048819727269e-05,2.7282203395796842e-05,-3.5819733904028853e-06,2.044742275707088e-05,1.7080381696884875e-06,-6.340695784683757e-05,3.165281957597216e-05,1.6857629166308518e-05,3.271523790430644e-06,-1.7062044835714457e-05,-2.6617656119342647e-05,-6.259776249069765e-05,2.307855452973783e-05,-2.0541798784828872e-05,2.1157610990366314e-05,-6.524790793008492e-05,1.1998026523071113e-05,-3.746696186038769e-05,1.431213638143529e-05,-9.959266158756878e-06,3.7994941837990006e-05,-4.419316518232251e-06,5.75252582051393e-07,-5.860567989854905e-05,3.566138681906866e-07,1.1139560076194959e-05,3.1105396025518946e-05,-1.538342546994758e-05,-2.5880088081225547e-05,-3.658999923037684e-05,-2.1583272574860472e-05,3.4517620008282584e-05,-6.04704542022526e-06,1.683854644106328e-05,5.6861596916757434e-05,3.061901471941142e-05,6.654709717945244e-06,4.678413756523673e-05,4.702425893991807e-05,-3.3507807287818364e-05,2.8796198426574356e-05,1.6084589640973333e-05,3.388968279703698e-06,4.3053540708577226e-05,-2.4173385800650003e-05,16.686064558137076,53.539361372578576
